Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:03501870000:D	22	Unshipped		Long Beach=22
A+1:03514780000:D	211	Unshipped		Long Beach=211
A+1:03509650000:D	86	Unshipped		Long Beach=86
A+1:03502790000:D	0	Unshipped		Long Beach=0
A+1:03502780000:D	351	Unshipped		Long Beach=351
A+1:03508050000:D	572	Unshipped		Long Beach=572
A+1:03502350000:D	473	Unshipped		Long Beach=473
A+1:03500420000:D	31	Unshipped		Long Beach=31
A+1:03526240000:D	0	Unshipped		Long Beach=0
A+1:03526230000:D	9	Unshipped		Long Beach=9
A+1:03522950000:D	20	Unshipped		Long Beach=20
A+1:03567990000:D	0	Unshipped		Long Beach=0
A+1:03563400000:D	0	Unshipped		Long Beach=0
A+1:03526650000:D	0	Unshipped		Long Beach=0
A+1:03567900000:D	308	Unshipped		Long Beach=308
A+1:03569200000:D	0	Unshipped		Long Beach=0
A+1:03520470000:D	223	Unshipped		Long Beach=223
A+1:03526630000:D	0	Unshipped		Long Beach=0
A+1:03503940000:D	90	Unshipped		Long Beach=90
A+1:03506220000:D	33	Unshipped		Long Beach=33
A+1:03528010000:D	119	Unshipped		Long Beach=119
A+1:03528020000:D	326	Unshipped		Long Beach=326
A+1:03520450000:D	18	Unshipped		Long Beach=18
A+1:03520440000:D	27	Unshipped		Long Beach=27
A+1:03528080000:D	77	Unshipped		Long Beach=77
A+1:03528090000:D	7	Unshipped		Long Beach=7
A+1:03509900000:D	279	Unshipped		Long Beach=279
A+1:03566650000:D	0	Unshipped		Long Beach=0
A+1:03567150000:D	0	Unshipped		Long Beach=0
A+1:03567500000:D	0	Unshipped		Long Beach=0
A+1:03515360000:D	0	Unshipped		Long Beach=0
A+1:03520420000:D	18	Unshipped		Long Beach=18
A+1:03519280000:D	0	Unshipped		Long Beach=0
A+1:03519290000:D	1	Unshipped		Long Beach=1
A+1:03567650000:D	0	Unshipped		Long Beach=0
A+1:03520860000:D	120	Unshipped		Long Beach=120
A+1:03520850000:D	149	Unshipped		Long Beach=149
A+1:03565620000:D	0	Unshipped		Long Beach=0
A+1:03567740000:D	0	Unshipped		Long Beach=0
A+1:03515690000:D	31	Unshipped		Long Beach=31
A+1:03522610000:D	45	Unshipped		Long Beach=45
A+1:03502800000:D	79	Unshipped		Long Beach=79
A+1:03509890000:D	18	Unshipped		Long Beach=18
A+1:03509880000:D	0	Unshipped		Long Beach=0
A+1:03544230000:D	55	Unshipped		Long Beach=55
A+1:03543660000:D	0	Unshipped		Long Beach=0
A+1:03541500000:D	0	Unshipped		Long Beach=0
A+1:03543160000:D	0	Unshipped		Long Beach=0
A+1:03543260000:D	0	Unshipped		Long Beach=0
A+1:03563080000:D	0	Unshipped		Long Beach=0
A+1:03568440000:D	0	Unshipped		Long Beach=0
A+1:03571180000:D	0	Unshipped		Long Beach=0
A+1:03571190000:D	0	Unshipped		Long Beach=0
A+1:03543150000:D	0	Unshipped		Long Beach=0
A+1:03568490000:D	0	Unshipped		Long Beach=0
A+1:03542720000:D	0	Unshipped		Long Beach=0
A+1:03542930000:D	0	Unshipped		Long Beach=0
A+1:03542190000:D	30	Unshipped		Long Beach=30
A+1:03571160000:D	0	Unshipped		Long Beach=0
A+1:03542210000:D	28	Unshipped		Long Beach=28
A+1:03571170000:D	0	Unshipped		Long Beach=0
A+1:03562930000:D	0	Unshipped		Long Beach=0
A+1:03542710000:D	0	Unshipped		Long Beach=0
A+1:03568970000:D	0	Unshipped		Long Beach=0
A+1:03566540000:D	0	Unshipped		Long Beach=0
A+1:03542100000:D	32	Unshipped		Long Beach=32
A+1:03542200000:D	27	Unshipped		Long Beach=27
A+1:03569010000:D	7	Unshipped		Long Beach=7
A+1:03541420000:D	12	Unshipped		Long Beach=12
A+1:03541430000:D	0	Unshipped		Long Beach=0
A+1:03567530000:D	0	Unshipped		Long Beach=0
A+1:03565320000:D	0	Unshipped		Long Beach=0
A+1:03567240000:D	0	Unshipped		Long Beach=0
A+1:03569140000:D	0	Unshipped		Long Beach=0
A+1:03541780000:D	107	Unshipped		Long Beach=107
A+1:03561570000:D	32	Unshipped		Long Beach=32
A+1:03565330000:D	5	Unshipped		Long Beach=5
A+1:03567250000:D	0	Unshipped		Long Beach=0
A+1:03567450000:D	0	Unshipped		Long Beach=0
A+1:15489440000:D	0	Unshipped		Long Beach=0
A+1:03560360000:D	0	Unshipped		Long Beach=0
A+1:03562730000:D	64	Unshipped		Long Beach=64
A+1:03508300000:D	29	Unshipped		Long Beach=29
A+1:03564040000:D	0	Unshipped		Long Beach=0
A+1:03508310000:D	61	Unshipped		Long Beach=61
A+1:03568640000:D	0	Unshipped		Long Beach=0
A+1:03566390000:D	0	Unshipped		Long Beach=0
A+1:03542270000:D	50	Unshipped		Long Beach=50
A+1:03542250000:D	14	Unshipped		Long Beach=14
A+1:03542230000:D	0	Unshipped		Long Beach=0
A+1:03543850000:D	0	Unshipped		Long Beach=0
A+1:03541540000:D	0	Unshipped		Long Beach=0
