Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:13418NXK:D	171	Unshipped		Long Beach=171
A+1:13423NXK:D	115	Unshipped		Long Beach=115
A+1:13427NXK:D	0	Unshipped		Long Beach=0
A+1:13511NXK:D	186	Unshipped		Long Beach=186
A+1:13512NXK:D	220	Unshipped		Long Beach=220
A+1:13513NXK:D	0	Unshipped		Long Beach=0
A+1:13514NXK:D	171	Unshipped		Long Beach=171
A+1:13515NXK:D	950	Unshipped		Long Beach=950
A+1:13516NXK:D	5	Unshipped		Long Beach=5
A+1:13517NXK:D	22	Unshipped		Long Beach=22
A+1:13518NXK:D	102	Unshipped		Long Beach=102
A+1:13519NXK:D	227	Unshipped		Long Beach=227
A+1:13520NXK:D	115	Unshipped		Long Beach=115
A+1:13524NXK:D	30	Unshipped		Long Beach=30
A+1:13525NXK:D	243	Unshipped		Long Beach=243
A+1:13526NXK:D	286	Unshipped		Long Beach=286
A+1:13527NXK:D	294	Unshipped		Long Beach=294
A+1:13535NXK:D	183	Unshipped		Long Beach=183
A+1:13536NXK:D	121	Unshipped		Long Beach=121
A+1:13591NXK:D	0	Unshipped		Long Beach=0
A+1:13594NXK:D	129	Unshipped		Long Beach=129
A+1:13637NXK:D	850	Unshipped		Long Beach=850
A+1:13670NXK:D	389	Unshipped		Long Beach=389
A+1:13677NXK:D	98	Unshipped		Long Beach=98
A+1:13965NXK:D	29	Unshipped		Long Beach=29
A+1:14023NXK:D	44	Unshipped		Long Beach=44
A+1:14056NXK:D	120	Unshipped		Long Beach=120
A+1:14058NXK:D	251	Unshipped		Long Beach=251
A+1:14059NXK:D	332	Unshipped		Long Beach=332
A+1:14070NXK:D	475	Unshipped		Long Beach=475
A+1:14096NXK:D	131	Unshipped		Long Beach=131
A+1:14099NXK:D	236	Unshipped		Long Beach=236
A+1:14101NXK:D	105	Unshipped		Long Beach=105
A+1:14102NXK:D	120	Unshipped		Long Beach=120
A+1:14106NXK:D	484	Unshipped		Long Beach=484
A+1:14108NXK:D	220	Unshipped		Long Beach=220
A+1:14110NXK:D	431	Unshipped		Long Beach=431
A+1:14111NXK:D	244	Unshipped		Long Beach=244
A+1:14112NXK:D	287	Unshipped		Long Beach=287
A+1:14113NXK:D	100	Unshipped		Long Beach=100
A+1:14114NXK:D	126	Unshipped		Long Beach=126
A+1:14121NXK:D	246	Unshipped		Long Beach=246
A+1:14139NXK:D	283	Unshipped		Long Beach=283
A+1:14153NXK:D	130	Unshipped		Long Beach=130
A+1:14190NXK:D	394	Unshipped		Long Beach=394
A+1:14306NXK:D	736	Unshipped		Long Beach=736
A+1:14309NXK:D	565	Unshipped		Long Beach=565
A+1:14311NXK:D	154	Unshipped		Long Beach=154
A+1:14325NXK:D	96	Unshipped		Long Beach=96
A+1:14326NXK:D	82	Unshipped		Long Beach=82
A+1:14327NXK:D	18	Unshipped		Long Beach=18
A+1:14390NXK:D	345	Unshipped		Long Beach=345
A+1:14391NXK:D	150	Unshipped		Long Beach=150
A+1:14392NXK:D	394	Unshipped		Long Beach=394
A+1:14393NXK:D	85	Unshipped		Long Beach=85
A+1:15454NXK:D	318	Unshipped		Long Beach=318
A+1:15455NXK:D	376	Unshipped		Long Beach=376
A+1:15456NXK:D	850	Unshipped		Long Beach=850
A+1:15457NXK:D	129	Unshipped		Long Beach=129
A+1:15459NXK:D	89	Unshipped		Long Beach=89
A+1:15460NXK:D	980	Unshipped		Long Beach=980
A+1:15463NXK:D	119	Unshipped		Long Beach=119
A+1:15464NXK:D	137	Unshipped		Long Beach=137
A+1:15465NXK:D	100	Unshipped		Long Beach=100
A+1:15466NXK:D	512	Unshipped		Long Beach=512
A+1:15467NXK:D	0	Unshipped		Long Beach=0
A+1:15468NXK:D	32	Unshipped		Long Beach=32
A+1:15469NXK:D	191	Unshipped		Long Beach=191
A+1:15470NXK:D	263	Unshipped		Long Beach=263
A+1:15471NXK:D	850	Unshipped		Long Beach=850
A+1:15472NXK:D	85	Unshipped		Long Beach=85
A+1:15473NXK:D	850	Unshipped		Long Beach=850
A+1:15474NXK:D	436	Unshipped		Long Beach=436
A+1:15558NXK:D	110	Unshipped		Long Beach=110
A+1:15608NXK:D	87	Unshipped		Long Beach=87
A+1:15981NXK:D	0	Unshipped		Long Beach=0
A+1:16047NXK:D	396	Unshipped		Long Beach=396
A+1:16058NXK:D	307	Unshipped		Long Beach=307
